查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
亲密关系视角下老挝乡村的情义共同体,2022,2022.09.28,1.北京外国语大学亚洲学院;2.广西民族大学民族学与社会学学院,苏世天;郝国强,亲密关系视角下老挝乡村的情义共同体,湖北民族大学学报(哲学社会科学版) ,No.05,C912.82,[42-56],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8wHDwogORZMGJcHzUj8n1g-oBHfuELvLyb6a_R6lt3LKb-2aCHcc-uizPdmN3uIeK4sDeQXkCDG_TJCDjv8RmM3M7DjQYhGJ4_Rd8quxAU_cU7yV2Pk0fFKt6LIfYQT3jnEqFB2NuO9z9yRf94V4M7qtDxIfiSbac9jmWBOlZLjA==&uniplatform=NZKPT&language=CHS
身份的自我审视与主动嵌入——以大学生村官的乡村社会融入为例,2023,2023.02.01,1.西北农林科技大学马克思主义学院;2.中山大学华南农村研究中心;3.北京外国语大学,张龙;苏世天,身份的自我审视与主动嵌入——以大学生村官的乡村社会融入为例,湖北民族大学学报(哲学社会科学版) ,No.01,D422.6;D630.3,[103-111],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-LI_qOOhIJcdV_8_y9QOfp89bbRLt3NaS2HyvYoMDzzDCGpOFm_9MSHlxfRmeM_cRCvubtc3bvWNLQJDZulkbH4YfBiWG9bNHqBsMh3fYUKBveOfPonTMwrp5WX3-wyYlgcT_-RkDxVOVafpfzdzcPMeAczDOBiGkkBbAI3JO5XQ==&uniplatform=NZKPT&language=CHS
世界流动与在地组织的相互性研究——马来西亚邦咯岛海洋渔业的案例,2023,2023.05.30,1.北京大学社会学系;2.北京师范大学人文和社会科学高等研究院非物质文化遗产研究与发展中心,娄缃旖;高丙中,世界流动与在地组织的相互性研究——马来西亚邦咯岛海洋渔业的案例,湖北民族大学学报(哲学社会科学版) ,No.03,F316.4,[37-47],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K9LZbLcoFOo2yWRCxo2_MmNQltzM4CEjg6yozu84dGPEuC0cKLaQ17x1uOuMo_w0NxWX3cS2ajnJVv3Y10evRi71WiMZGizXPmcF5NH2Ru6f_0Akx8Cq6P3o6nHKNbPGYW45GqKR39Edgzhx_3rTIb8dsOpCuh8KdZBh_Aa-s2-RQ==&uniplatform=NZKPT&language=CHS
马来西亚“懒惰土著”观的形塑、演变与话语政治,2025,2025.03.12,1.厦门大学东南亚研究中心/马来西亚研究所;2.厦门大学南洋研究院,刘计峰;马广路,马来西亚“懒惰土著”观的形塑、演变与话语政治,世界民族 ,No.01,D733.8,[67-79],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8o-wwxKpOV-FV91KvLceCCFwTyafUVU4Hjj5KlclVEaUOsJOdALZ7jg9-ZtR7-CX-SmbK8p808RIEjEilzgApfqLSHFjnNKlPQr2HOD3xuYKDzs6oSPesBFPe0ofn-BXi2daoq4Lox7n7zFcKf6q8e84LzxOtv9vmS9kxDJSAkjw==&uniplatform=NZKPT&language=CHS
华人信俗、国家文化与跨国遗产：马来西亚马六甲送王船的意义再造,2025,2025.05.28,厦门大学南洋研究院,刘计峰;蒋滨韵,华人信俗、国家文化与跨国遗产：马来西亚马六甲送王船的意义再造,西北民族研究 ,No.03,B933;G125,[103-114],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K_y2Kxw0LxMX-rdVG35637I4EKp8PrVJ0hcS1Tm2AqdSnGhEkHIRhKrGvwdElFyOOjKo4zpCfQ98xu7T77ZPR33L0YveTp686M6eMycg3cN6UgMViElP41Kw7A26AMWm17x3_sDthzmi-yEIxsyXKQaFJFMLhKDan8Z8KSNlsy2Sw==&uniplatform=NZKPT&language=CHS
空手道训练对大学生自我控制能力的影响：来自行为和脑电的证据,2020,2020.09.18,1.北京体育大学心理学院;2.杭州师范大学附属医院认知与脑疾病研究中心;3.杭州师范大学心理科学研究院;4.杭州师范大学浙江省认知障碍评估技术研究重点实验室;5.北京世纪好未来教育科技有限公司脑科学实验室,闻嘉宁;李杰;杨子鹏;张禹,空手道训练对大学生自我控制能力的影响:来自行为和脑电的证据,应用心理学 ,No.03,G886.5-4,[240-249],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K_Mubf7WXO2bjZ_copr_EIGdqHHTStMf22vAXELcN-d8M1wKgKRuoDbgKGvPdKwdkq-tn9re2XbAUnahAxR2OgSkwipZyQVvoJWz0Cq-awRFPR_Y_gSY_sUTyKyiCDrtrrpQL__ElsUJZMRIfnjbUqV075T9rKAyVSyxRjAapCamg==&uniplatform=NZKPT&language=CHS
政府研发补贴对创新资本错配的影响研究,2025,2024.12.17,1.浙江工商大学统计与数学学院;2.杭州师范大学阿里巴巴商学院,陈钰芬;陈锦颖;范嵩盈,政府研发补贴对创新资本错配的影响研究,科研管理 ,No.05,F812.45;F124.3,[83-91],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K_mLJhDtxuK0Y9E0zwoIXn0tVBSuaXVdymtiyFi0DcXMwNKyw5nyK5HxkK7UsfW-RucaQPdUaKqMxT_lGPTDkU5j8_5WxOSuaAWR2wNfiVSNv3ht4K18OSQoxJBEwix4zDe5lpeyNExG03kvXreV3YgZt7KX8B-rXK5nmbqiMDdCQ==&uniplatform=NZKPT&language=CHS
量化碳排放信息对旅游者碳补偿意愿的影响研究,未知,未披露,,李玲,量化碳排放信息对旅游者碳补偿意愿影响的研究,未知,未知,X321;F592,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-vn7jHU1UJkCzbDOQP7hfCwt-w8ksSmiaAsJq86OC24d0UY1Lrhx1RdX_OG3yUmdY7CLSjxxYSsoWiQoZcDIzkgBY_jFsNmSJ_xPEwXmoIzllXgFEXZNQ_XBFn4TtUfCRwVbgyY1tTJZYzgkLoLbNMmGDgUcy0vi4_O2DTXjOrJSXUAJ0-WSCo&uniplatform=NZKPT&language=CHS
长江中游城市群生态承载力差异的比较研究,2020,2020.09.22,1.河海大学中国移民研究中心;2.三峡大学水库移民研究中心,张津瑞;施国庆,长江中游城市群生态承载力差异的比较研究,长江流域资源与环境 ,No.08,X24,[1694-1702],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K9vYQGTSUFKatmY51dgzc9MSeYYFBE2tBHVdAFr04iDhJsf7uSAozEmyFTCHWLUcsbYPp2CUKstJqDmJSuP5sX6VKn41_1WH_6t_UN5Zvzsum-DIRrGnBM_Mpjqe061Uz3N6pSuH7koUZiwM4iL7ndiY7jmAH1L6WUU8-ESJCZxmw==&uniplatform=NZKPT&language=CHS
三峡库区漂浮物治理的跨界合作机制与动态策略,2025,2024.11.19,1.三峡大学经济与管理学院;2.三峡大学水库移民研究中心,高攀;李建慧;赵旭,三峡库区漂浮物治理的跨界合作机制与动态策略,长江流域资源与环境 ,No.06,TV697;X524,[1354-1370],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-CGpE5PiiLX7D_uh6uDe7bjKLDCL9Ey3-946NRoI1Btz1Su8gxkZQIICIvTKK-bkqc5UOci6Eln8YFgsv3xN2neVV-YImXZtGlw9LUEmGRM_5BrBxXH_XEK0Wfyb-gfdB_pTuYkPGuNw6AIXQylaHUjNR5coU_NnzL1192GKEfiw==&uniplatform=NZKPT&language=CHS
可燃冰开发中的海洋生态环境保护政策制定研究——以交易成本理论为分析视角,2020,2020.02.02,1.三峡大学法学与公共管理学院;2.上海海洋大学公共管理研究所,傅广宛;王倩;杨杨,可燃冰开发中的海洋生态环境保护政策制定研究——以交易成本理论为分析视角,湘潭大学学报(哲学社会科学版) ,No.01,X321;P744.4,[17-22],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K9KQO5eVdIZo2qG6175La1iHKUZ8JMHYDWmn52r0ysU6RSR7QLRACwXwExfuMwfuZhauIETvXYt-_YTcXSYjZY4D4eLzxxOCgeEznK9w4E02OfhotsjySW-j_ZlfiqPhQVkedDv01YgZqrj84lmxCuue7fXfl8YDPSMmD3zpkGClA==&uniplatform=NZKPT&language=CHS
社区互联网+垃圾分类回收服务设计研究——以武汉城市星座社区为例,2020,2020.06.23,三峡大学巴楚艺术发展研究中心,刘军,社区互联网+垃圾分类回收服务设计研究——以武汉城市星座社区为例,装饰 ,No.03,X799.3,[140-141],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-POojSLjGgWrVbaxB_yLfHq7qYPer7ZA_gg3S6dYCq1Mi3jz2OZBtvZV9hINjZfszonA7-FMSHVn9AAxmfUo4R2BVNGFl01t1XNiyAJh0nyhzofw2WNP5z9JifD55Ob6ojI_gQy8hGHDfepMv-GnzH8wgWgjZ-huPax-0OqFTHbg==&uniplatform=NZKPT&language=CHS
创始人群体特征组态与创业生态系统韧性的微观主体基础,查看该刊,2024.11.01,1.三峡大学经济与管理学院;2.上海大学管理学院,张铭;费佳宝;王冬玲;刘宗华,创始人群体特征组态与创业生态系统韧性的微观主体基础 网络首发,科技进步与对策 ,,F272,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K9YJUvEr5LMkJguGYM8ylJp75ZotyuRHxK1skOWB3MHm0URXjN8_c_N8vTshkeEC_mJSH29baLk5tDh3cqI81naIKMTAj9_x1O7vW4GcWubFF0J-JVqV27N193rplh6hAlkaDfoIOmEHv4u-K62Gva5Yzj7eAbJmek5hQ5lgxOIYw==&uniplatform=NZKPT&language=CHS
重大突发公共卫生事件中的分配正义——以马克思正义思想为分析框架,2021,2021.10.22,暨南大学马克思主义学院,魏传光,重大突发公共卫生事件中的分配正义——以马克思正义思想为分析框架,齐鲁学刊 ,No.05,D63;A81,[81-88],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-aUDv6VOsxWtDrIv75dtNmTKjWzFjuBdYUftH0bAbP3B7Ol3C8aYOm-R1jykQZuCLrWZpgs8LSTkH8TtYASSclMmOdUMK8VQvR4r3yKK-6ZL95jUVQf5s0-XlLtoNcmFwJDFfo2heEVEdshQuoOLBjMU4iPCkII7mpPoEPDN28uw==&uniplatform=NZKPT&language=CHS
连锁股东与企业避税,2024,2025.02.28,江西财经大学会计学院,李世刚;曾畅;黄一松;章卫东,连锁股东与企业避税,管理科学 ,No.04,F812.42;F275;F271;F832.51,[126-146],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K_FBhQ0pLHIDJ0MpQOaECSsFjCLKZd1gMp6ymP5HK8ePpmzQRTU0Lv_6-m2y_eDEQ5kAcvTtbrN1zww2BGIKAe0ZXlq3NzcoQc-THSM6q4VQZ4ShB_9oAG5DoIDDoJM4sa2JzaKy1TQkJMJCSyCb5zsAxXRsbP8Wf8b7SS_XJvxIA==&uniplatform=NZKPT&language=CHS
向导式红色旅游解说感知对旅游者契合的影响——以南昌八一起义纪念馆为例,2024,2025.03.12,1.江西财经大学工商管理学院;2.江西财经大学数字经济学院;3.江西财经大学社会与人文学院,李文明;裴路霞;唐文跃;翁奕,向导式红色旅游解说感知对旅游者契合的影响——以南昌八一起义纪念馆为例,旅游科学 ,No.12,F592.7;G127,[1-16],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8QLztJnPToVr3TbfjZpF1g_8ffEAD8BZt-ZuVabtBhNNx991qKCB3V7AI1t8FKrFkfegkjySQ9qtugDQ82jCVfiK4FSEmoVZYT2b-pBUx5EPf7TLj9zhHVNP7XvMV1w_46cHsGG7GUsJtbS2BOw7Lx5hvKR7gVFgwbXGgI9o5M-w==&uniplatform=NZKPT&language=CHS
粮食安全背景下高标准农田建设的耕地复种效应研究,2024,2025.02.25,江西财经大学经济学院,彭继权;童建;李家陶;薛存伟,粮食安全背景下高标准农田建设的耕地复种效应研究,中国土地科学 ,No.12,F323.211,[29-40],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K8cxSBWi8WczNOGr53O4fcgDuy7UwSp7xYBa1GlRXvN2XQTJmp8NcOOet5uc4bdiHaPJhATLdopYqPcfEB48t9Asvx2UP4U85pgKZ74_YyiM-lNOqknJxqeOeEkufL6puNeGNFuZQXkt1gUuez2PFgk1ugDF8-ae4sTzSrGdfDH_Q==&uniplatform=NZKPT&language=CHS
地方政府预算管理与企业创新 ——基于收入预算执行非平稳视角的分析,2024,2025.03.12,江西财经大学会计学院,熊家财;黄玲,地方政府预算管理与企业创新——基于收入预算执行非平稳视角的分析,财政研究 ,No.10,F832.51;F812.3;F273.1,[48-62],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K_WoV3S2YpcNUMVxTqh8x4rhu39ChNch0odZBKIV7p7Pk3ClvfCTxfoS-dQkaFAo5Csij4cbIJbCKyL2UksAxLApIAbY_kB1Ey8pjUmo8kdA6BC0n92a0lMgtyD5Bh9WxjrfQ2TWdCFQXs6VeUpFL1QbSBScWJtIIBHgRi0LfM7ug==&uniplatform=NZKPT&language=CHS
宛俊勇作品,2020,2020.11.18,安徽师范大学美术学院,宛俊勇,宛俊勇作品,出版发行研究 ,No.10,J223,[63],https://kns.cnki.net/kcms2/article/abstract?v=bJ89lKU86K-cbW2AICpTLn3pOeYHteTjdVgPZQg0fXoGxdvCZMqcr09P7Kg4mP4fiW8_3l2mgwdfGEd_yTqTj79noOT0U_iii-L4XqTyfE92vFnPnKWPe1jVCOqkDut7gPTjhzKaITgn_zwZQVmXgaTQRuy31bcbNyrba0r8sYsDfcjpPAMqZw==&uniplatform=NZKPT&language=CHS
数字失能对老年人幸福感的影响及机制研究,2024,2025.03.27,江西财经大学公共管理学院,杨道田;陈鑫,数字失能对老年人幸福感的影响及机制研究,甘肃行政学院学报 ,No.06,F49;D669.6,[80-89+127],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc8h9jfcGQvsGM5fAVpjBE3rQ4VEg-Fmg3W50TU5FQokmtw7Wtc9aAu0hiJ3zoEeFtAlOs5WTrZyVwUuXhyLs2iIDFTgYpn5Ioot5dEE9_7k0oV2AT0E5v7j2Spmh_kolvg1QDtMuulJoDQmBfw8ecKW-9Zn48hT5P6HRTrYfTa4w==&uniplatform=NZKPT&language=CHS
中国国有企业与民营企业的估值差异及其理论解释,2024,2025.03.31,1.厦门大学经济学院;2.海南大学国际商学院;3.上海立信会计金融学院会计学院;4.中国海洋大学管理学院/中国企业营运资金管理研究中心,魏志华;梁方志;李培功;张嘉伟,中国国有企业与民营企业的估值差异及其理论解释,金融研究 ,No.10,F276.1;F276.5,[1-19],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd1tdSu2gexRjFu8HXOVygpYSTySXdZBEMCjT_gscjm_adQyfeX8MK_k0lG7IRVlZdTvFi07rYN2gNycd-NOcLcAhH9qkA2NXnZHyFhkbZnWh1jlYMIKJFuvpokbC5I47-sTY7bDrWazuu843yLpRiSaWFHE72wzRn4lJaY-BPiqw==&uniplatform=NZKPT&language=CHS
如何在科学治理的背景下理解科学的辩护问题,2023,2023.08.16,北京航空航天大学马克思主义学院,王娜,如何在科学治理的背景下理解科学的辩护问题,自然辩证法研究 ,No.06,N031,[133-138],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfNQqAty7YBZrYZ0uYKheZHPWaWesD0HL1HgafOkiMBRCq_cDEMBrM7wt1x4Q5Javgn5S3AK9evyrP_7JrJIrn4lzaWVaXk-OlZXxkMm6fUPDaotsuowBtMN_rlU-BMu-CyOl2TQtS30cV7Xifo49_EfydVPjz3Qo3mUuMx4D60oA==&uniplatform=NZKPT&language=CHS
我国省际全要素生产率的对比分析研究,2024,2024.06.04,1.厦门大学经济学院统计学与数据科学系;2.吉林财经大学,刘云霞;曾五一,我国省际全要素生产率的对比分析研究,统计研究 ,No.05,F124,[15-23],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcQ7Juro17CYVy0kmQppv6aSDJCcY4S88Xdvzo87J9bDtw1lqbkXuiGnrAJmlRnlq_pQcp45J-fwnZOUB01Nyy7XyyIEF3wt6aTQWTFviXWFaosGvETnCowoepQJiUcA1zvqQtCHTT1IPt2m7H4Nzz_Kay-XxWCEvQdVSeuLz6UaA==&uniplatform=NZKPT&language=CHS
“租购同权”政策与租房群体的消费相对剥夺,2024,2024.09.30,厦门大学经济学院,陈铭聪;孙琪琪;唐礼智,“租购同权”政策与租房群体的消费相对剥夺,山西财经大学学报 ,No.10,F299.23,[46-57],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc9RELllLYRNlBC1n01zSJaLjm3K5UHmf8gYq1q1FTVGelYhQprzMHjSOTcolM8tPcGO65CT9q2U77hz7h8QXTzu2imIydemMvUGBfPBwjos7lkMcQx7YsNRYTDDeYlDNUtNY3KgJZgnBngxL-cfZ2L4zX9az6FXkRh-4Az1obZYg==&uniplatform=NZKPT&language=CHS
科学图像的实践表征路径,2020,2020.09.16,北京航空航天大学马克思主义学院,张正清;严玉蓉,科学图像的实践表征路径,自然辩证法研究 ,No.09,N0,[58-63],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc3vW55ClxhK6yem7f5Tr1bxxs9N_TAchbuFKAy6QKzHFe_lwqPFEtGkEy2kNxlfLXzTPmpzL9B7hLrsNPUwE7bpFH53z4zoxV7qXLaa-HM5dQRGUvaqIj7pXscR5nKD22e2CKg-fe84L4YS2YolEE0PbhCql22PmH5XQ0PKvSCHg==&uniplatform=NZKPT&language=CHS
交易费用理论视角的中国农村土地信托模式研究,2020,2020.09.10,1.中国人民大学公共管理学院;2.北京航空航天大学马克思主义学院,黄燕芬;张志开;张超,交易费用理论视角的中国农村土地信托模式研究,公共管理与政策评论 ,No.05,F321.1;F832.49,[73-86],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcBhAF2tb0RvuYKFPwve4XHoxLA3EszEl8YAoEzJ3lKbJrQ-flBdMMcR4oY21qB0k6pvv5jJj7n7uLCwsxo_m2LunxxZaGEJOOF2FdUqBeO_R8fJGj6PANmfMbWWyHUQvR8UeimfjC9mIBYi8O6oqwPk_p3TZ4NWbrcUeBQ-Lv5vg==&uniplatform=NZKPT&language=CHS
时空理论的研究进展和未来展望,2025,2025.02.17,1.清华大学经济管理学院;2.中国石油大学(北京)经济管理学院;3.北京工业大学经济与管理学院;4.西南财经大学国际商学院;5.厦门大学管理学院,陈国权;吴凡;王婧懿;林燕玲;付悦,时空理论的研究进展和未来展望,中国管理科学 ,No.01,C93,[195-208],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd2duKdJehpRwbUEdJ6tA1gaYPa7xGtMTcTWDblfXK3rpvrNnnztu2qdHh1ZEtI8EW8yVdztTbaQnsVn_8WOpl-inTT7sXNyHD7IZtgk48mNGqmXVY7L02jINwSpQ1BYb-8MYuIbsWWyisZtcZ_l4gHM3HwmHPiufqlvnlm0wPztw==&uniplatform=NZKPT&language=CHS
专利质押贷款的创新激励效应,2024,2025.03.31,1.广东外语外贸大学会计学院;2.厦门大学管理学院;3.中山大学商学院/中山大学·深圳创新创业与科技金融研究中心,许锐;王艳艳;于李胜,专利质押贷款的创新激励效应,金融研究 ,No.10,F832.4;F273.1,[58-75],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdvrywUf4ZTvfxtKfsmdwygNSAnRGV5pFlvb1rpZNb_dIKi0YbDWcqJjMD_YH1Khp6xrZiirmecZX5Psia6nd4uWOC_tnuPw_T8PXVP3PFkifObIsf-RJPeJiJ9tKNEXk9H5H4dm1hO3jw3Udc7za_javkRuUH82iXo3gDabFdueg==&uniplatform=NZKPT&language=CHS
新时代“三农”协同发展的马克思主义中国化逻辑：问题、范式及目标,2020,2019.10.23,西南科技大学马克思主义学院,翟坤周,新时代“三农”协同发展的马克思主义中国化逻辑：问题、范式及目标,新疆师范大学学报(哲学社会科学版) ,No.01,B27;B81-0,[73-83],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfBc57Xm0E56xluErqJn7JE6lKNRvbk6cudx_LKP8PQSYJ57uSZJ2LhLRJViOBUI-mQwOWxjsF9RiZJrLKjP9gMnAYFji0UIYj94M8uhADsFhePbNFv5puTFPr4x_3nFBApppq44xfQWJRxgveKp5Z_SZXq_DkkZdwowrUZlzFRhA==&uniplatform=NZKPT&language=CHS
嵌入与引领:智能算法时代的主流价值观构建,2021,2021.04.19,西南科技大学马克思主义学院,陈文胜,嵌入与引领:智能算法时代的主流价值观构建,学术界 ,No.03,TP18,[88-97],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc_5yjwbaeivNdpyifqeWboa8Yc9uUnuABXhmLBnCkzLEM6fydzK_btDl1q26bFmBm-GOa6ahfEpVYlUykmEHBZC0meiY3x6QKYchWethQfhDQWvnjWAnfUlCLFO8P7NDTmIvPfWE0R7muyDVlpcrGMvayQXc5oXPhZ9Cqs6Cf1Vw==&uniplatform=NZKPT&language=CHS
